"No","Paragraf","Elemen Ke-","Kode","Jenis Kesalahan","Asli","Perbaikan","Penjelasan"
"35","1","91","[KBBI-BTB]","[KBBI] Bentuk Takbaku","sholat","salat","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"36","1","95","[KBBI-BTB]","[KBBI] Bentuk Takbaku","mushola","musala","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"37","1","98","[BTB01]","Bentuk Takbaku","shabar","sabar","Kata yang digunakan merupakan bentuk takbaku"
"38","1","100","[KBBI-BTB]","[KBBI] Bentuk Takbaku","adzan,","azan,","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"39","1","101","[KBBI-BTB]","[KBBI] Bentuk Takbaku","maghrib,","magrib,","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"40","1","102","[BTB01]","Bentuk Takbaku","udzur,","uzur,","Kata yang digunakan merupakan bentuk takbaku"
"41","1","104","[BTB01]","Bentuk Takbaku","ramadhan","ramadan","Kata yang digunakan merupakan bentuk takbaku"
"42","1","104","[SiPEBI-HKD]","[SiPEBI] Huruf Kapital Definit","ramadan","Ramadan","[SiPEBI] Kata yang digunakan harus selalu ditulis menggunakan huruf kapital"
"43","1","107","[KBBI-BTB]","[KBBI] Bentuk Takbaku","Wudhu","Wudu","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"44","1","109","[BTB01]","Bentuk Takbaku","Qubur","Kubur","Kata yang digunakan merupakan bentuk takbaku"
"45","1","116","[KBBI-BTB]","[KBBI] Bentuk Takbaku","qalbu","kalbu","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"46","1","118","[BTB01]","Bentuk Takbaku","bathin.","batin.","Kata yang digunakan merupakan bentuk takbaku"
"47","1","120","[BTB01]","Bentuk Takbaku","himbauan","imbauan","Kata yang digunakan merupakan bentuk takbaku"
"48","1","122","[BTB01]","Bentuk Takbaku","subsidair","subsider","Kata yang digunakan merupakan bentuk takbaku"
"49","1","125","[KBBI-BTB]","[KBBI] Bentuk Takbaku","hutang","utang","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"50","1","127","[KBBI-BTB]","[KBBI] Bentuk Takbaku","Ijin","Izin","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"51","1","130","[KBBI-BTB]","[KBBI] Bentuk Takbaku","ijasah","ijazah","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"52","1","134","[KBBI-BTB]","[KBBI] Bentuk Takbaku","azas","asas","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"53","1","139","[KBBI-BTB]","[KBBI] Bentuk Takbaku","jaman.","zaman.","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"54","1","141","[KBBI-BTB]","[KBBI] Bentuk Takbaku","antri","antre","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"55","1","143","[BTB01]","Bentuk Takbaku","bis","bus","Kata yang digunakan merupakan bentuk takbaku"
"56","1","147","[KBBI-BTB]","[KBBI] Bentuk Takbaku","konkrit,","konkret,","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"57","1","148","[KBBI-BTB]","[KBBI] Bentuk Takbaku","sekedar","sekadar","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"58","1","151","[KBBI-BTB]","[KBBI] Bentuk Takbaku","resiko","risiko","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"59","1","153","[BTB01]","Bentuk Takbaku","saksama.","seksama.","Kata yang digunakan merupakan bentuk takbaku"
"60","1","154","[KBBI-BTB]","[KBBI] Bentuk Takbaku","Nasehat","Nasihat","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"61","1","160","[KBBI-BTB]","[KBBI] Bentuk Takbaku","kharisma,","karisma,","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"62","1","162","[KBBI-BTB]","[KBBI] Bentuk Takbaku","kuatir","khawatir","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"63","2","2","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","antar siswa","antarsiswa","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"64","2","8","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","sub bagian","subbagian","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"65","2","12","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","semi permanen","semipermanen","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"66","2","15","[KBBI-BTB]","[KBBI] Bentuk Takbaku","jaman","zaman","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"67","2","16","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","pra-sejarah,","prasejarah,","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"68","2","20","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","non-migas","nonmigas","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"69","2","23","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","anti oksidan","antioksidan","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"70","2","27","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","pasca-perang","pascaperang","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"71","2","31","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","swa karya","swakarya","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"72","2","35","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","Nir laba,","Nirlaba,","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"73","2","39","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","multi-fungsi","multifungsi","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"74","2","41","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","nara hubung","narahubung","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"75","2","45","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","tuna rungu","tunarungu","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"76","2","48","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","tak-sayang","taksayang","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"77","2","52","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","adi kuasa","adikuasa","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"78","2","55","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","maha tunggal","mahatunggal","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"79","2","60","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","purna jual,","purnajual,","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"80","2","66","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","purna-bakti.","purnabakti.","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"81","2","69","[KBBI-BTB]","[KBBI] Bentuk Takbaku","jaman","zaman","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"82","2","70","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","serba modern","serbamodern","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"83","2","75","[KBBI-BTB]","[KBBI] Bentuk Takbaku","jaman","zaman","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"84","2","76","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","purba-kala,","purbakala,","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"85","2","79","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","pramu-wisata","pramuwisata","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"86","2","84","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","makro-ekonomi","makroekonomi","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"87","2","86","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","mikro ekonomi","mikroekonomi","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"88","2","92","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","eka bahasa,","ekabahasa,","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"89","2","92","[SiPEBI-KKS]","[SiPEBI] Kata Konjungsi Subordinatif","ekabahasa, walaupun","ekabahasa walaupun","[SiPEBI] Kata yang digunakan merupakan kata konjungsi subordinatif, tidak perlu dituliskan dengan didahului koma pada kata sebelumnya"
"90","2","98","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","dwi warna,","dwiwarna,","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"91","2","103","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","tri darma","tridarma","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"92","2","106","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","catur satya,","catursatya,","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"93","2","110","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","panca krida.","pancakrida.","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"94","2","112","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","Sad kahyangan","Sadkahyangan","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"95","2","116","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","sapta pesona","saptapesona","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"96","2","119","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","hasta dewata","hastadewata","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"97","2","122","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","nawa cita","nawacita","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"98","2","125","[SiPEBI-BT]","[SiPEBI] Bentuk Terikat","dasa warsa.","dasawarsa.","[SiPEBI] Kata yang digunakan merupakan bentuk terikat. Penulisannya harus disambung dengan kata sesudahnya"
"99","3","2","[PMPKT01]","Prefiks (meN-) Pada Konsonan Tajam","mengkoordinasikan","mengoordinasikan","Prefiks (meN-) luluh jika ditambahkan pada kata dasar yang berawalan huruf (k, p, t, s) dan bukan berupa gugus konsonan (seperti: pr, st, ks, tr, dll.)"
"100","3","9","[KBBI-BTB]","[KBBI] Bentuk Takbaku","mengkonsumsi","mengonsumsi","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"101","3","11","[PMPKT01]","Prefiks (meN-) Pada Konsonan Tajam","mengkarungi","mengarungi","Prefiks (meN-) luluh jika ditambahkan pada kata dasar yang berawalan huruf (k, p, t, s) dan bukan berupa gugus konsonan (seperti: pr, st, ks, tr, dll.)"
"102","3","18","[KBBI-BTB]","[KBBI] Bentuk Takbaku","mempesona.","memesona.","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"103","3","23","[PMPKT01]","Prefiks (meN-) Pada Konsonan Tajam","mempedulikan","memedulikan","Prefiks (meN-) luluh jika ditambahkan pada kata dasar yang berawalan huruf (k, p, t, s) dan bukan berupa gugus konsonan (seperti: pr, st, ks, tr, dll.)"
"104","3","24","[BTB01]","Bentuk Takbaku","himbauan","imbauan","Kata yang digunakan merupakan bentuk takbaku"
"105","3","28","[KBBI-BTB]","[KBBI] Bentuk Takbaku","mempengaruhi","memengaruhi","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"106","3","33","[PMPKT01]","Prefiks (meN-) Pada Konsonan Tajam","mentargetkan","menargetkan","Prefiks (meN-) luluh jika ditambahkan pada kata dasar yang berawalan huruf (k, p, t, s) dan bukan berupa gugus konsonan (seperti: pr, st, ks, tr, dll.)"
"107","3","37","[PMPKT01]","Prefiks (meN-) Pada Konsonan Tajam","mentoleransi","menoleransi","Prefiks (meN-) luluh jika ditambahkan pada kata dasar yang berawalan huruf (k, p, t, s) dan bukan berupa gugus konsonan (seperti: pr, st, ks, tr, dll.)"
"108","3","41","[PMPKT01]","Prefiks (meN-) Pada Konsonan Tajam","mentasbihkan","menasbihkan","Prefiks (meN-) luluh jika ditambahkan pada kata dasar yang berawalan huruf (k, p, t, s) dan bukan berupa gugus konsonan (seperti: pr, st, ks, tr, dll.)"
"109","3","44","[PMPKT01]","Prefiks (meN-) Pada Konsonan Tajam","mensucikan","menyucikan","Prefiks (meN-) luluh jika ditambahkan pada kata dasar yang berawalan huruf (k, p, t, s) dan bukan berupa gugus konsonan (seperti: pr, st, ks, tr, dll.)"
"110","3","48","[KBBI-BTB]","[KBBI] Bentuk Takbaku","mensukseskan","menyukseskan","[KBBI] Kata yang digunakan merupakan bentuk takbaku"
"111","3","51","[PMPKT01]","Prefiks (meN-) Pada Konsonan Tajam","mensakralkan","menyakralkan","Prefiks (meN-) luluh jika ditambahkan pada kata dasar yang berawalan huruf (k, p, t, s) dan bukan berupa gugus konsonan (seperti: pr, st, ks, tr, dll.)"
"112","4","7","[KDBHC01]","Kata Dasar Berawalan Huruf C","menyuci","mencuci","Prefiks (meN-) berubah menjadi (men-), bukan (meny-), ketika ditambahkan pada kata dasar yang berawalan huruf c"
"113","4","10","[KDBHC01]","Kata Dasar Berawalan Huruf C","menyairkan","mencairkan","Prefiks (meN-) berubah menjadi (men-), bukan (meny-), ketika ditambahkan pada kata dasar yang berawalan huruf c"
"114","4","13","[KDSSK01]","Kata Dasar Satu Suku Kata","""membom""","""mengebom""","Prefiks (meN-) berubah menjadi (menge-), bukan (mem-, men-), ketika ditambahkan pada kata dasar yang terdiri atas satu suku kata"
"115","4","18","[KDSSK01]","Kata Dasar Satu Suku Kata","mentes","mengetes","Prefiks (meN-) berubah menjadi (menge-), bukan (mem-, men-), ketika ditambahkan pada kata dasar yang terdiri atas satu suku kata"
"116","4","25","[KDSSK01]","Kata Dasar Satu Suku Kata","mempel","mengepel","Prefiks (meN-) berubah menjadi (menge-), bukan (mem-, men-), ketika ditambahkan pada kata dasar yang terdiri atas satu suku kata"
"117","5","1","[00002]","Nama Kesalahan 00002","Pemasukkan","Pemasukan","Penjelasan kesalahan 00002"
"118","5","3","[00001]","Nama Kesalahan 00001","dimasukan","dimasukkan","Penjelasan kesalahan 00001"
"119","5","8","[00000]","Nama Kesalahan 00000","kemasukkan","kemasukan","Penjelasan kesalahan 00000"
"120","5","11","[SiPEBI-KKS]","[SiPEBI] Kata Konjungsi Subordinatif","salah, karena","salah karena","[SiPEBI] Kata yang digunakan merupakan kata konjungsi subordinatif, tidak perlu dituliskan dengan didahului koma pada kata sebelumnya"
"121","5","16","[00001]","Nama Kesalahan 00001","dikontrakan.","dikontrakkan.","Penjelasan kesalahan 00001"
"122","5","17","[00000]","Nama Kesalahan 00000","Kekompakkan","Kekompakan","Penjelasan kesalahan 00000"
"123","5","22","[00003]","Nama Kesalahan 00003","menaklukan","menaklukkan","Penjelasan kesalahan 00003"
"124","5","26","[00002]","Nama Kesalahan 00002","penaklukkan","penaklukkan","Penjelasan kesalahan 00002"
"125","5","28","[00002]","Nama Kesalahan 00002","pertunjukkan","pertunjukan","Penjelasan kesalahan 00002"
"126","5","30","[00002]","Nama Kesalahan 00002","penampakkan","penampakan","Penjelasan kesalahan 00002"
"127","5","32","[00003]","Nama Kesalahan 00003","menampakan","menampakkan","Penjelasan kesalahan 00003"
"128","5","35","[00001]","Nama Kesalahan 00001","ditunjukan","ditunjukkan","Penjelasan kesalahan 00001"
"129","5","37","[00002]","Nama Kesalahan 00002","penunjukkan","penunjukan","Penjelasan kesalahan 00002"
"130","6","1","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","Ditempat","Di tempat","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"131","6","2","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","dimana","di mana","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"132","6","7","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","ketempat","ke tempat","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"133","6","8","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","kemana","ke mana","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"134","6","12","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","darimana","dari mana","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"135","6","16","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","didalam","di dalam","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"136","6","19","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","ditengah.","di tengah.","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"137","6","21","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","disamping,","di samping,","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"138","6","22","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","disisi,","di sisi,","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"139","6","23","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","diatas,","di atas,","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"140","6","25","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","dibawah,","di bawah,","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"141","6","25","[SiPEBI-KKS]","[SiPEBI] Kata Konjungsi Subordinatif","di bawah, walaupun","di bawah walaupun","[SiPEBI] Kata yang digunakan merupakan kata konjungsi subordinatif, tidak perlu dituliskan dengan didahului koma pada kata sebelumnya"
"142","6","28","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","kesamping,","ke samping,","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"143","6","29","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","kesisi,","ke sisi,","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"144","6","30","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","keatas,","ke atas,","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"145","6","32","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","kebawah","ke bawah","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"146","6","35","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","kedalam,","ke dalam,","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"147","6","36","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","ketengah","ke tengah","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"148","7","3","[00004]","Nama Kesalahan 00004","u/b","u.b.","Penjelasan kesalahan 00004"
"149","7","6","[00004]","Nama Kesalahan 00004","d/a","d.a.","Penjelasan kesalahan 00004"
"150","7","7","[00005]","Nama Kesalahan 00005","sbb","sbb.","Penjelasan kesalahan 00005"
"151","7","9","[00004]","Nama Kesalahan 00004","u/p","u.p.","Penjelasan kesalahan 00004"
"152","7","11","[00004]","Nama Kesalahan 00004","a/n","a.n.","Penjelasan kesalahan 00004"
"153","7","13","[00005]","Nama Kesalahan 00005","dkk,","dkk.,","Penjelasan kesalahan 00005"
"154","7","20","[00004]","Nama Kesalahan 00004","s/d","s.d.","Penjelasan kesalahan 00004"
"155","7","22","[00005]","Nama Kesalahan 00005","yth","yth.","Penjelasan kesalahan 00005"
"156","7","23","[00005]","Nama Kesalahan 00005","ttd","ttd.","Penjelasan kesalahan 00005"
"157","7","24","[SiPEBI-KKT]","[SiPEBI] Kata Keterangan Tempat","dibawah","di bawah","[SiPEBI] Kata yang digunakan merupakan kata keterangan tempat, seharusnya ditulis terpisah dari kata depan di-, ke-, dan dari-"
"158","7","33","[00005]","Nama Kesalahan 00005","dst","dst.","Penjelasan kesalahan 00005"
"159","7","39","[00005]","Nama Kesalahan 00005","dsb","dsb.","Penjelasan kesalahan 00005"
"160","7","49","[00005]","Nama Kesalahan 00005","dll","dll.","Penjelasan kesalahan 00005"
"161","8","1","[SiPEBI-TBL]","[SiPEBI] Tanda Baca Lepas","Jadi ,","Jadi,","[SiPEBI] Tanda baca ini merupakan tanda baca yang lepas, perlu disambungkan dengan elemen/kata terdekatnya"
"162","8","3","[SiPEBI-TBL]","[SiPEBI] Tanda Baca Lepas","bagaimana ?","bagaimana?","[SiPEBI] Tanda baca ini merupakan tanda baca yang lepas, perlu disambungkan dengan elemen/kata terdekatnya"
"163","8","4","[SiPEBI-TBL]","[SiPEBI] Tanda Baca Lepas","Menyerah ?","Menyerah?","[SiPEBI] Tanda baca ini merupakan tanda baca yang lepas, perlu disambungkan dengan elemen/kata terdekatnya"
